,ID,longitude,latitude,altitude
0,CVI,"16,00","-23,00",1077
1,B244,"22,46","32,34",285
2,B158,"-8,43","40,21",28
3,C24 (B158),"-8,43","40,21",28
4,R16,"68,48","38,35",648
5,B149,"2,80","41,68",129
6,COL0,"38,00","92,00",-32768
7,COL0,"38,00","92,00",-32768
8,Nore1,"38,00","92,00",-32768
9,B351,"0,17","46,65",125
10,B257,"-0,25","46,65",149
11,B257,"-0,25","46,65",149
12,B102,"1,10","49,44",16
13,B307,"4,12","46,67",258
14,B236,"5,32","47,38",196
15,B236,"5,32","47,38",196
16,B70,"8,27","50,00",96
17,B90,"-3,58","50,35",47
18,B340,"0,40","51,20",11
19,B340,"0,40","51,20",11
20,VAN0,"49,00","-123,00",-32768
21,VAN0,"49,00","-123,00",-32768
22,B98,"-123,21","49,27",-32768
23,B98,"-123,21","49,27",-32768
24,B243,"9,30","49,00",225
25,B243,"9,30","49,00",225
26,B137,"-86,33","42,09",221
27,B88,"-1,72","51,42",131
28,B55,"16,62","49,20",211
29,B87,"0,06","51,29",244
30,KAS1,"34,00","74,00",-32768
31,KAS1,"34,00","74,00",-32768
32,B353,"8,26","47,25",626
33,B353,"8,26","47,25",626
34,B37,"8,39","50,17",429
35,B123,"21,00","52,30",76
36,B123,"21,00","52,30",76
37,B146,"11,00","49,00",530
38,B216,"10,87","47,98",623
39,B106,"15,88","49,18",486
40,B358,"16,25","49,39",504
41,Ore1,"52,50","15,50",0
42,B56,"15,00","49,00",494
43,B56,"15,00","49,00",494
44,B345,"13,97","56,06",33
45,B198,"15,76","49,33",550
46,B194,"13,74","56,10",52
47,B303,"13,85","55,95",99
48,WS0,"52,00","30,00",1658
49,WS0,"52,00","30,00",1658
50,B255,"6,13","60,23",-32768
51,B342,"1,10","51,30",21
52,MS0,"58,00","38,00",537
53,MS0,"58,00","38,00",537
54,N13,"61,36","34,15",888
55,E116,"72,47","37,35",3471
56,E116,"72,47","37,35",3471
57,E44,"73,63","42,58",3009
58,E44,"73,63","42,58",3009
